playerid,yearid,stint,teamid,lgid,position,games,games_started,innouts,putouts,assists,errors,double_plays,passed_balls,wild_pitches,opp_sbs,opp_cs,zone_rating
huntjo01,1932,1,SLN,NL,OF,5,,,13,0,0,0,,,,,
hurstdo01,1932,1,PHI,NL,1B,150,,,1341,94,10,105,,,,,
jackstr01,1932,1,NY1,NL,SS,52,,,106,166,22,31,,,,,
jamiech01,1932,1,CLE,AL,OF,2,,,3,1,0,0,,,,,
jenkito01,1932,1,SLA,AL,OF,12,,,29,2,2,0,,,,,
jensewo01,1932,1,PIT,NL,OF,1,,,0,0,0,0,,,,,
johnsha01,1932,1,NYA,AL,P,5,,,1,5,0,0,,,,,
johnsro02,1932,1,DET,AL,OF,48,,,102,3,8,0,,,,,
johnsro02,1932,2,BOS,AL,OF,85,,,167,6,13,0,,,,,
johnssi01,1932,1,CIN,NL,P,42,,,7,55,7,1,,,,,
johnssy01,1932,1,SLN,NL,P,32,,,3,30,0,1,,,,,
jollesm01,1932,1,CHA,AL,OF,11,,,11,1,1,0,,,,,
jollesm01,1932,2,BOS,AL,C,5,,,21,2,0,0,1,,,,
jollesm01,1932,2,BOS,AL,OF,126,,,234,12,15,3,,,,,
